primary_label,class_name,stage,perch_idxs
dwatin1,Aves,exact_ebird,13439
epaori4,Aves,exact_ebird,6445
eulfly1,Aves,exact_ebird,6915
fabwre1,Aves,exact_ebird,2166
fepowl,Aves,exact_ebird,5537
ficman1,Aves,exact_ebird,7503
flawar1,Aves,exact_ebird,8483
fotfly,Aves,exact_ebird,14206
fusfly1,Aves,exact_ebird,3134
gilhum1,Aves,exact_ebird,6264
giwrai1,Aves,exact_ebird,1055
glteme1,Aves,exact_ebird,2630
grasal3,Aves,exact_ebird,12257
greani1,Aves,exact_ebird,3673
greant1,Aves,exact_ebird,13448
greela,Aves,exact_ebird,8460
grekis,Aves,exact_ebird,10505
grepot1,Aves,exact_ebird,8956
gretho2,Aves,exact_ebird,9978
greyel,Aves,exact_ebird,13955
grfdov1,Aves,exact_ebird,7095
grhtan1,Aves,exact_ebird,4860
gycwor1,Aves,exact_ebird,1050
horscr1,Aves,exact_ebird,712
houspa,Aves,exact_ebird,9725
hyamac1,Aves,exact_ebird,726
larela1,Aves,exact_ebird,4531
lesela1,Aves,exact_ebird,4514
lesgrf1,Aves,exact_ebird,4635
limpki,Aves,exact_ebird,1057
linwoo1,Aves,exact_ebird,4365
litcuc2,Aves,exact_ebird,3144
litnig1,Aves,exact_ebird,12583
mabpar,Aves,exact_ebird,11783
magant1,Aves,exact_ebird,2438
magtan2,Aves,exact_ebird,3028
masgna1,Aves,exact_ebird,10916
nacnig1,Aves,exact_ebird,2761
ocecra1,Aves,sciname_fallback,12196
oliwoo1,Aves,exact_ebird,12707
orbtro3,Aves,exact_ebird,6423
orwpar,Aves,exact_ebird,463
osprey,Aves,exact_ebird,9605
pabspi1,Aves,exact_ebird,13235
palhor3,Aves,sciname_fallback,5272
paltan1,Aves,exact_ebird,13684
phecuc1,Aves,exact_ebird,4316
picpig2,Aves,exact_ebird,9768
pirfly1,Aves,exact_ebird,6922
plasla1,Aves,exact_ebird,13635
platyr1,Aves,exact_ebird,6529
plcjay1,Aves,exact_ebird,3806
pluibi1,Aves,exact_ebird,13654
purjay1,Aves,exact_ebird,3809
pvttyr1,Aves,exact_ebird,5987
ragmac1,Aves,exact_ebird,1030
rebscy1,Aves,exact_ebird,2138
recfin1,Aves,exact_ebird,3488
redjun,Aves,exact_ebird,5353
relser1,Aves,exact_ebird,2254
rinkin1,Aves,exact_ebird,7715
rivwar1,Aves,exact_ebird,8491
roahaw,Aves,exact_ebird,12204
rubthr1,Aves,exact_ebird,14140
rufcac2,Aves,exact_ebird,11336
rufcas2,Aves,exact_ebird,2300
rufgna3,Aves,exact_ebird,3333
rufhor2,Aves,exact_ebird,5275
rufnig1,Aves,exact_ebird,894
ruftho1,Aves,exact_ebird,9979
ruftof1,Aves,exact_ebird,10847
rumfly1,Aves,exact_ebird,8494
ruther1,Aves,exact_ebird,13740
rutjac1,Aves,exact_ebird,5296
sabspa1,Aves,exact_ebird,1173
saffin,Aves,exact_ebird,12642
saytan1,Aves,exact_ebird,13685
scadov1,Aves,exact_ebird,3273
schpar1,Aves,exact_ebird,10462
scther1,Aves,exact_ebird,10003
shcfly1,Aves,exact_ebird,8418
shshaw,Aves,exact_ebird,40
shtnig1,Aves,exact_ebird,7449
sibtan2,Aves,exact_ebird,11865
smbani,Aves,exact_ebird,3672
smbtin1,Aves,exact_ebird,3718
sobcac1,Aves,exact_ebird,1926
sobtyr1,Aves,exact_ebird,2123
socfly1,Aves,exact_ebird,8497
sofspi1,Aves,exact_ebird,13250
souant1,Aves,exact_ebird,3491
soulap1,Aves,exact_ebird,14313
souscr1,Aves,exact_ebird,2595
spbant3,Aves,exact_ebird,6367
spispi1,Aves,exact_ebird,13265
sptnig1,Aves,sciname_fallback,886
squcuc1,Aves,exact_ebird,10390
stbwoo2,Aves,exact_ebird,4079
strcuc1,Aves,exact_ebird,13441
strher2,Aves,sciname_fallback,1892
strowl1,Aves,exact_ebird,1233
swthum1,Aves,exact_ebird,4920
swtman1,Aves,exact_ebird,2640
tattin1,Aves,exact_ebird,3722
thlwre1,Aves,exact_ebird,2151
toctou1,Aves,exact_ebird,11859
trokin,Aves,exact_ebird,14204
trsowl,Aves,exact_ebird,7744
undtin1,Aves,exact_ebird,3724
varant1,Aves,exact_ebird,13623
watjac1,Aves,exact_ebird,6639
wesfie1,Aves,exact_ebird,11749
wfwduc1,Aves,exact_ebird,4059
whbant2,Aves,exact_ebird,1549
whbwar2,Aves,exact_ebird,8487
whiwoo1,Aves,exact_ebird,7799
whlspi1,Aves,exact_ebird,13237
whnjay1,Aves,exact_ebird,3810
whtdov,Aves,exact_ebird,7096
whwpic1,Aves,exact_ebird,10411
y00678,Aves,exact_ebird,2241
yebcar,Aves,exact_ebird,9707
yebela1,Aves,exact_ebird,4518
yecmac,Aves,exact_ebird,11045
yecpar,Aves,exact_ebird,1763
yehcar1,Aves,exact_ebird,3980
yeofly1,Aves,exact_ebird,13812
